match,site,sequence,x,y,rep,x_end,x_team,n_x,n_y,metal_x,metal_y,winner,reason,seconds,contact_seconds,survivors_x,survivors_y,value_left_x,value_left_y,damage_taken_x,damage_taken_y
0,1,1,corak,corfav,1,east,0,28,46,1204,1196,x,wiped,11.5,5.0,21,0,0.466,0.000,4394,4538
1,1,1,armham,armjanus,5,east,0,11,6,1430,1440,y,wiped,26.5,11.5,0,4,0.000,0.249,12443,5004
1,0,1,armflea,armflea,3,east,1,57,57,1197,1197,x,wiped,30.0,5.0,2,0,0.023,0.000,3716,3822
0,0,1,armham,corthud,1,east,0,11,10,1430,1400,x,wiped,47.0,10.5,4,0,0.200,0.000,9513,11861
1,0,2,armflea,armstump,6,west,1,54,5,1134,1125,y,wiped,14.0,-0.5,0,5,0.000,0.505,6229,4635
0,1,2,armham,armwar,7,east,1,10,5,1300,1350,y,wiped,33.0,3.5,0,2,0.000,0.133,10519,7194
1,1,2,armstump,armfav,5,east,0,5,36,1125,1116,x,wiped,20.0,4.0,4,0,0.289,0.000,6629,6173
0,0,2,armjeth,corstorm,3,east,1,7,8,875,880,y,wiped,23.5,10.5,0,8,0.000,0.896,4791,649
1,0,3,armpw,armham,2,west,1,24,10,1296,1300,y,wiped,21.0,8.0,0,7,0.000,0.485,10273,5366
1,1,3,armflea,corfav,6,west,1,57,46,1197,1196,x,wiped,28.0,5.5,9,0,0.106,0.000,3393,4496
0,0,3,armwar,armwar,0,west,0,4,4,1080,1080,y,wiped,23.0,9.5,0,4,0.000,0.022,6606,6443
0,1,3,armart,armart,3,east,1,9,9,1215,1215,x,wiped,62.5,16.0,1,0,0.003,0.000,6740,6473
1,0,4,armwar,corfav,7,east,1,5,52,1350,1352,x,wiped,14.0,6.0,5,0,0.611,0.000,3221,5291
0,0,4,corstorm,corthud,4,west,0,10,8,1100,1120,y,wiped,34.0,10.5,0,4,0.000,0.294,8354,6923
1,0,5,corstorm,corlevlr,7,east,1,10,5,1100,1100,y,wiped,17.5,11.5,0,5,0.000,0.654,8427,2547
1,1,4,armjeth,armjeth,2,west,1,10,10,1250,1250,draw,stalemate,60.0,,10,10,1.000,1.000,0,0
0,1,4,cormist,cormist,4,west,0,8,8,1240,1240,y,wiped,51.5,9.0,0,5,0.000,0.076,7483,6639
1,0,6,armham,armart,7,east,1,9,9,1170,1215,x,wiped,25.0,11.0,9,0,0.461,0.000,5227,6260
0,0,5,corgator,corllt,5,east,0,9,12,1080,1080,x,wiped,28.5,11.5,6,0,0.464,0.000,4017,8233
1,1,5,corthud,corlevlr,6,west,1,8,5,1120,1100,y,wiped,20.0,12.0,0,5,0.000,0.566,9834,3132
0,1,5,armflea,cormist,3,east,1,59,8,1239,1240,y,wiped,30.0,6.0,0,3,0.000,0.274,5104,5168
0,0,6,armham,cormist,5,east,0,6,5,780,775,x,wiped,26.0,8.5,6,0,0.663,0.000,2074,4689
1,0,7,armjeth,armart,7,east,1,10,9,1250,1215,y,wiped,47.0,20.0,0,4,0.000,0.250,7201,4861
1,1,6,armham,armwar,4,west,0,10,5,1300,1350,y,wiped,30.5,9.5,0,3,0.000,0.156,10519,6986
0,0,7,armfav,corlevlr,1,east,0,43,6,1333,1320,y,wiped,10.5,6.0,0,6,0.000,0.943,8054,503
0,1,6,armpw,armpw,6,west,1,22,22,1188,1188,x,wiped,20.5,6.5,7,0,0.183,0.000,6967,8451
1,1,7,armwar,armjeth,3,east,1,5,11,1350,1375,x,wiped,20.0,9.5,5,0,0.999,0.000,9,7013
1,0,8,corak,corraid,4,west,0,33,6,1419,1410,y,wiped,25.0,7.5,0,6,0.000,0.458,11390,6777
0,1,7,armstump,cormist,2,west,1,5,7,1125,1085,x,wiped,31.0,7.0,5,0,0.631,0.000,3393,6516
0,0,8,armstump,corllt,4,west,0,6,15,1350,1350,x,wiped,35.0,11.0,4,0,0.601,0.000,4358,10803
1,1,8,corraid,corlevlr,5,east,0,5,5,1175,1100,y,wiped,17.0,10.0,0,5,0.000,0.646,10504,2627
1,0,9,armflea,corcrash,5,east,0,59,10,1239,1250,x,wiped,28.5,6.5,32,0,0.417,0.000,2274,6439
0,1,8,corstorm,corcrash,7,east,1,8,7,880,875,x,wiped,21.5,9.5,8,0,0.839,0.000,1014,5281
0,0,9,corak,armart,1,east,0,28,9,1204,1215,x,wiped,27.0,7.5,7,0,0.079,0.000,9234,5763
0,1,9,armwar,armfav,2,west,1,4,35,1080,1085,x,wiped,12.5,5.0,4,0,0.580,0.000,2775,4099
1,0,10,corcrash,corgator,0,west,0,10,10,1250,1200,y,wiped,22.0,7.5,0,10,0.000,0.907,6538,795
1,1,9,corcrash,armart,7,east,1,10,9,1250,1215,y,wiped,53.0,19.0,0,6,0.000,0.291,7201,4496
0,0,10,armpw,corgator,2,west,1,20,9,1080,1080,y,wiped,32.0,6.0,0,2,0.000,0.066,7941,7222
1,0,11,corlevlr,cormist,7,east,1,5,7,1100,1085,x,wiped,19.5,9.0,5,0,0.732,0.000,1905,6765
0,1,10,armham,corstorm,6,west,1,11,13,1430,1430,x,wiped,34.5,9.0,7,0,0.391,0.000,7244,10848
0,0,11,armflash,armflash,0,west,0,11,11,1210,1210,y,wiped,27.0,6.0,0,2,0.000,0.071,8412,7782
1,1,10,armjeth,armstump,6,west,1,9,5,1125,1125,y,wiped,29.5,8.5,0,5,0.000,0.821,6069,1669
0,1,11,corstorm,corlevlr,2,west,1,10,5,1100,1100,y,wiped,20.0,10.0,0,5,0.000,0.671,8620,2425
1,0,12,corthud,armjanus,4,west,0,10,6,1400,1440,y,wiped,26.5,10.0,0,5,0.000,0.320,12858,4499
0,0,12,corgator,corllt,4,west,0,9,12,1080,1080,x,wiped,24.0,10.0,8,0,0.383,0.000,4610,8212
1,1,11,armham,cormist,2,west,1,6,5,780,775,x,wiped,24.5,8.0,6,0,0.661,0.000,2083,4685
0,1,12,armpw,corcrash,0,west,0,23,10,1242,1250,x,wiped,15.0,7.5,23,0,0.775,0.000,2002,6476
1,1,12,armart,corgator,7,east,1,8,9,1080,1080,y,wiped,17.5,8.0,0,9,0.000,0.581,5055,3282
0,0,13,corak,corcrash,6,west,1,29,10,1247,1250,x,wiped,15.5,7.0,29,0,0.888,0.000,942,6498
1,0,13,corwolv,armllt,4,west,0,7,14,1190,1190,x,wiped,53.5,16.0,1,0,0.143,0.000,4619,10315
1,1,13,armpw,armwar,0,west,0,20,4,1080,1080,y,wiped,18.5,6.5,0,4,0.000,0.432,7792,3750
1,0,14,armflash,armjanus,6,west,1,11,5,1210,1200,y,wiped,16.0,8.0,0,4,0.000,0.497,9935,2702
0,0,14,armjanus,corllt,6,west,1,6,16,1440,1440,x,wiped,34.0,15.0,4,0,0.414,0.000,3689,12705
0,1,13,corcrash,corcrash,0,west,0,10,10,1250,1250,draw,stalemate,60.0,,10,10,1.000,1.000,0,0
1,1,14,corcrash,corwolv,5,east,0,11,8,1375,1360,y,wiped,49.5,21.5,0,2,0.000,0.154,8252,5620
1,0,15,corcrash,armfav,7,east,1,10,40,1250,1240,y,wiped,30.0,5.0,0,39,0.000,0.795,6441,901
0,0,15,corstorm,corcrash,1,east,0,8,7,880,875,x,wiped,23.5,9.5,8,0,0.893,0.000,663,5155
0,1,14,armfav,cormist,4,west,0,40,8,1240,1240,y,wiped,42.5,5.0,0,4,0.000,0.251,5573,5355
0,0,16,armpw,corthud,7,east,1,26,10,1404,1400,y,wiped,21.0,7.5,0,6,0.000,0.375,11221,7167
1,0,16,armpw,armjanus,1,east,0,22,5,1188,1200,x,wiped,20.5,8.5,5,0,0.147,0.000,9494,5452
1,1,15,armjeth,armfav,1,east,0,10,40,1250,1240,y,wiped,32.5,5.5,0,36,0.000,0.651,6337,1548
0,0,17,corcrash,corraid,4,west,0,11,6,1375,1410,y,wiped,27.5,8.5,0,6,0.000,0.825,7948,2173
0,1,15,armstump,armstump,6,west,1,5,5,1125,1125,x,wiped,39.0,8.0,2,0,0.037,0.000,9174,9544
1,1,16,corak,corlevlr,3,east,1,31,6,1333,1320,y,wiped,13.0,8.0,0,6,0.000,0.890,11440,984
0,0,18,corthud,corfav,2,west,1,9,48,1260,1248,x,wiped,13.0,5.5,9,0,0.591,0.000,4178,7314
1,0,17,corthud,corthud,3,east,1,9,9,1260,1260,y,wiped,48.5,10.0,0,2,0.000,0.147,10680,9105
1,1,17,corgator,corwolv,7,east,1,10,7,1200,1190,x,wiped,16.0,8.0,10,0,0.595,0.000,3496,5333
0,1,16,corak,corstorm,0,west,0,28,11,1204,1210,y,wiped,26.5,7.5,0,5,0.000,0.361,9928,5483
0,0,19,armpw,armflash,6,west,1,22,11,1188,1210,y,wiped,23.5,6.0,0,7,0.000,0.298,8481,5826
1,0,18,corthud,corcrash,4,west,0,9,10,1260,1250,x,wiped,25.5,9.5,9,0,0.924,0.000,805,7224
1,1,18,armjeth,corstorm,4,west,0,7,8,875,880,y,wiped,21.5,9.5,0,8,0.000,0.777,5018,1402
0,1,17,armpw,corgator,1,east,0,20,9,1080,1080,y,wiped,36.5,6.0,0,2,0.000,0.144,7855,6601
0,0,20,armjanus,corwolv,2,west,1,5,7,1200,1190,x,wiped,19.5,11.5,5,0,0.434,0.000,3076,5867
0,1,18,armflea,corwolv,5,east,0,57,7,1197,1190,x,wiped,18.0,6.5,29,0,0.296,0.000,3652,5300
1,0,19,armstump,cormist,7,east,1,5,7,1125,1085,x,wiped,30.5,7.0,5,0,0.634,0.000,3370,6515
0,0,21,armwar,corgator,7,east,1,4,9,1080,1080,x,wiped,18.5,7.0,4,0,0.411,0.000,3851,7712
1,1,19,armflash,armflash,1,east,0,11,11,1210,1210,y,wiped,24.5,6.0,0,3,0.000,0.156,8339,7033
0,0,22,armflea,armflash,3,east,1,58,11,1218,1210,y,wiped,13.0,5.0,0,7,0.000,0.326,3905,5572
1,0,20,armflea,armflash,4,west,0,58,11,1218,1210,y,wiped,12.0,5.0,0,9,0.000,0.443,3841,4644
0,1,19,armwar,corllt,7,east,1,4,12,1080,1080,x,wiped,40.0,16.0,2,0,0.342,0.000,4258,8225
1,1,20,corstorm,corstorm,1,east,0,11,11,1210,1210,x,wiped,38.0,10.0,4,0,0.222,0.000,6864,8877
0,0,23,corthud,armfav,4,west,0,9,41,1260,1271,x,wiped,16.5,5.5,8,0,0.449,0.000,5705,7399
0,1,20,corcrash,armstump,3,east,1,9,5,1125,1125,y,wiped,28.0,8.5,0,5,0.000,0.829,6088,1595
1,1,21,corstorm,armjanus,3,east,1,11,5,1210,1200,y,wiped,26.0,10.0,0,3,0.000,0.213,9787,4346
1,0,21,armjeth,corllt,1,east,0,10,14,1250,1260,y,wiped,58.0,12.5,0,14,0.000,0.933,6420,647
0,0,24,armstump,armjanus,0,west,0,5,5,1125,1200,y,wiped,25.0,9.5,0,3,0.000,0.210,10113,4356
1,1,22,armham,corfav,0,west,0,9,45,1170,1170,x,wiped,14.0,5.5,9,0,0.629,0.000,3477,6256
0,1,21,armflea,armfav,5,east,0,57,39,1197,1209,x,wiped,21.0,4.0,20,0,0.252,0.000,2838,4384
0,0,25,armflea,corthud,7,east,1,60,9,1260,1260,y,wiped,18.0,6.0,0,7,0.000,0.573,7469,4394
1,0,22,corgator,corgator,3,east,1,10,10,1200,1200,x,wiped,29.0,6.5,5,0,0.150,0.000,7319,8645
1,1,23,armpw,armham,3,east,1,24,10,1296,1300,y,wiped,24.5,8.0,0,5,0.000,0.305,10421,7257
1,0,23,armrock,armjanus,0,west,0,10,5,1200,1200,y,wiped,26.5,10.0,0,4,0.000,0.365,8611,3414
0,1,22,armflea,armart,2,west,1,58,9,1218,1215,x,wiped,23.5,6.5,15,0,0.165,0.000,4004,5666
0,0,26,armstump,armllt,7,east,1,6,16,1350,1360,x,wiped,32.0,11.0,4,0,0.626,0.000,4076,11081
1,1,24,armham,corstorm,7,east,1,11,13,1430,1430,x,wiped,35.5,10.0,6,0,0.292,0.000,8488,10846
1,0,24,corcrash,armflash,3,east,1,7,8,875,880,y,wiped,21.0,7.0,0,8,0.000,0.950,4524,314
0,1,23,corak,armjanus,6,west,1,28,5,1204,1200,y,wiped,23.5,7.5,0,3,0.000,0.244,12104,4041
0,0,27,corstorm,armflash,3,east,1,11,11,1210,1210,x,wiped,30.0,7.0,3,0,0.122,0.000,7461,9182
1,0,25,armrock,corthud,4,west,0,7,6,840,840,y,wiped,27.0,9.5,0,6,0.000,0.396,5842,4098
1,0,26,armflea,corlevlr,1,east,0,52,5,1092,1100,y,wiped,10.5,6.5,0,5,0.000,0.920,9374,619
1,1,25,corwolv,corllt,6,west,1,8,15,1360,1350,x,wiped,61.5,16.5,2,0,0.212,0.000,4853,11823
0,1,24,corthud,corgator,1,east,0,6,7,840,840,x,wiped,37.5,8.0,1,0,0.041,0.000,6697,6280
0,0,28,armrock,armart,5,east,0,9,8,1080,1080,x,wiped,28.5,10.0,7,0,0.260,0.000,5136,5481
1,1,26,armstump,corfav,4,west,0,5,43,1125,1118,x,wiped,16.5,5.5,5,0,0.476,0.000,4877,5540
1,0,27,armham,corwolv,3,east,1,9,7,1170,1190,x,wiped,21.0,10.5,9,0,0.522,0.000,4503,5834
0,1,25,armflash,armstump,6,west,1,10,5,1100,1125,y,wiped,34.0,7.0,0,1,0.000,0.054,8067,8837
1,1,27,armpw,corthud,4,west,0,26,10,1404,1400,y,wiped,22.5,7.0,0,7,0.000,0.479,11316,6142
1,0,28,armstump,corwolv,1,east,0,6,8,1350,1360,x,wiped,25.0,9.5,6,0,0.396,0.000,6780,6315
0,0,29,armrock,armllt,2,west,1,10,14,1200,1190,x,wiped,38.0,14.0,6,0,0.392,0.000,4496,10068
0,1,26,armflea,armfav,3,east,1,57,39,1197,1209,x,wiped,11.5,4.0,15,0,0.175,0.000,3156,4358
1,0,29,armjeth,corgator,0,west,0,10,10,1250,1200,y,wiped,24.0,7.0,0,10,0.000,0.859,6469,1204
1,1,28,armstump,armllt,5,east,0,6,16,1350,1360,x,wiped,37.0,11.0,5,0,0.592,0.000,4456,10861
0,0,30,armrock,armflea,1,east,0,10,57,1200,1197,x,wiped,36.0,6.0,1,0,0.000,0.000,7588,8258
0,1,27,armham,armflash,5,east,0,11,13,1430,1430,x,wiped,26.0,7.5,5,0,0.224,0.000,8892,10661
1,1,29,armham,corcrash,6,west,1,9,9,1170,1125,x,wiped,20.5,9.5,9,0,0.924,0.000,721,6294
1,0,30,armrock,armllt,0,west,0,10,14,1200,1190,x,wiped,36.0,14.5,7,0,0.598,0.000,2964,9972
0,1,28,armwar,armjanus,6,west,1,5,6,1350,1440,y,wiped,19.0,9.0,0,3,0.000,0.368,8737,4067
0,0,31,corcrash,corfav,6,west,1,10,48,1250,1248,y,wiped,30.5,5.5,0,47,0.000,0.796,6432,928
1,1,30,armpw,corfav,1,east,0,22,46,1188,1196,x,wiped,11.5,5.0,18,0,0.486,0.000,4321,4482
1,0,31,corwolv,corfav,6,west,1,7,46,1190,1196,y,wiped,17.0,6.5,0,29,0.000,0.459,5300,3377
0,1,29,armham,corfav,1,east,0,9,45,1170,1170,x,wiped,14.5,6.0,9,0,0.503,0.000,4642,6314
0,0,32,armpw,armflash,2,west,1,22,11,1188,1210,y,wiped,25.0,6.0,0,5,0.000,0.281,8494,5986
1,1,31,armrock,armllt,1,east,0,10,14,1200,1190,x,wiped,43.0,14.0,5,0,0.373,0.000,4641,10027
0,1,30,corstorm,corwolv,6,west,1,11,7,1210,1190,x,wiped,26.0,10.5,5,0,0.382,0.000,5802,5638
0,0,33,armflash,armllt,5,east,0,10,13,1100,1105,x,wiped,23.0,8.5,6,0,0.402,0.000,4457,8507
1,1,32,armpw,armfav,3,east,1,22,38,1188,1178,x,wiped,10.0,4.5,22,0,0.473,0.000,4444,4263
1,0,32,armjeth,armllt,4,west,0,10,15,1250,1275,y,wiped,72.0,33.0,0,15,0.000,0.945,6391,515
0,1,31,armflash,armart,5,east,0,11,9,1210,1215,x,wiped,18.5,8.0,9,0,0.494,0.000,4473,5685
0,0,34,armflash,armllt,3,east,1,10,13,1100,1105,x,wiped,25.5,8.5,3,0,0.235,0.000,5794,8418
1,0,33,armflash,corlevlr,4,west,0,10,5,1100,1100,y,wiped,10.5,7.0,0,5,0.000,1.000,8174,0
1,1,33,armrock,cormist,4,west,0,9,7,1080,1085,x,wiped,30.5,7.5,8,0,0.491,0.000,3434,6611
0,1,32,corak,armflash,5,east,0,28,11,1204,1210,y,wiped,21.5,5.5,0,8,0.000,0.216,8224,6534
1,1,34,armjanus,corfav,2,west,1,5,46,1200,1196,x,wiped,14.0,5.5,5,0,0.579,0.000,2275,11540
1,0,34,armfav,corwolv,5,east,0,44,8,1364,1360,x,wiped,24.0,5.5,30,0,0.520,0.000,3699,6081
0,0,35,corthud,corthud,4,west,0,9,9,1260,1260,x,wiped,38.5,10.0,3,0,0.213,0.000,8186,10668
1,1,35,armpw,corthud,6,west,1,26,10,1404,1400,y,wiped,23.0,7.5,0,6,0.000,0.503,10923,5788
0,1,33,corraid,corllt,3,east,1,5,13,1175,1170,x,wiped,42.5,11.0,4,0,0.523,0.000,4838,9265
0,0,36,armflea,corgator,6,west,1,57,10,1197,1200,y,wiped,11.0,5.0,0,10,0.000,0.571,4058,3637
1,0,35,armrock,armrock,5,east,0,10,10,1200,1200,x,wiped,40.0,9.5,3,0,0.220,0.000,6271,7909
1,1,36,armrock,corgator,0,west,0,10,10,1200,1200,y,wiped,21.5,7.5,0,10,0.000,0.445,7479,4726
0,1,34,armwar,corlevlr,3,east,1,4,5,1080,1100,y,wiped,16.5,10.5,0,5,0.000,0.653,6650,2505
0,0,37,armjeth,armstump,4,west,0,9,5,1125,1125,y,wiped,30.0,8.5,0,5,0.000,0.662,6398,3171
1,1,37,armpw,corlevlr,0,west,0,21,5,1134,1100,y,wiped,12.5,7.5,0,5,0.000,0.927,9815,540
1,0,36,armham,armwar,3,east,1,10,5,1300,1350,y,wiped,29.5,9.0,0,3,0.000,0.178,10518,6845
0,0,38,armham,armfav,5,east,0,9,38,1170,1178,x,wiped,13.5,5.5,9,0,0.566,0.000,4080,6354
1,1,38,corthud,corcrash,5,east,0,9,10,1260,1250,x,wiped,22.5,9.5,9,0,0.928,0.000,754,7185
1,0,37,armpw,corstorm,2,west,1,22,11,1188,1210,y,wiped,27.0,7.5,0,4,0.000,0.269,10277,6213
0,1,35,armart,cormist,1,east,0,8,7,1080,1085,y,wiped,58.0,8.5,0,2,0.000,0.266,5236,4881
0,0,39,armpw,corraid,3,east,1,26,6,1404,1410,y,wiped,22.0,7.0,0,5,0.000,0.406,11286,7378
1,1,39,armjanus,armllt,7,east,1,5,14,1200,1190,x,wiped,44.0,15.0,1,0,0.110,0.000,4694,10890
1,0,38,corstorm,corraid,3,east,1,11,5,1210,1175,y,wiped,40.5,8.5,0,4,0.000,0.160,8952,8726
0,0,40,armstump,armllt,6,west,1,6,16,1350,1360,x,wiped,32.5,11.0,4,0,0.605,0.000,4317,11083
0,1,36,corak,corak,3,east,1,28,28,1204,1204,y,wiped,39.0,6.0,0,2,0.000,0.016,8317,8201
0,0,41,corak,corfav,2,west,1,28,46,1204,1196,x,wiped,12.5,4.5,20,0,0.432,0.000,4648,4567
1,1,40,armwar,armstump,0,west,0,5,6,1350,1350,x,wiped,25.5,7.5,5,0,0.314,0.000,5629,11198
0,1,37,armpw,armwar,1,east,0,20,4,1080,1080,y,wiped,19.0,6.5,0,3,0.000,0.368,7854,4175
1,0,39,corak,cormist,3,east,1,29,8,1247,1240,x,wiped,37.0,6.0,14,0,0.226,0.000,7000,7167
1,1,41,armwar,corwolv,2,west,1,5,8,1350,1360,x,wiped,20.0,9.5,5,0,0.571,0.000,3559,6122
1,0,40,corak,corlevlr,4,west,0,31,6,1333,1320,y,wiped,12.0,8.0,0,6,0.000,0.959,10714,360
0,0,42,armjeth,armflea,2,west,1,10,60,1250,1260,y,wiped,26.5,6.0,0,43,0.000,0.551,6355,1759
0,1,38,armpw,corak,3,east,1,23,29,1242,1247,x,wiped,25.0,5.5,4,0,0.056,0.000,8393,8528
1,0,41,armjeth,corlevlr,5,east,0,7,4,875,880,y,wiped,13.0,9.5,0,4,0.000,1.000,5158,0
1,1,42,armrock,corraid,4,west,0,10,5,1200,1175,y,wiped,38.0,9.0,0,3,0.000,0.280,7783,7646
0,1,39,armjanus,armjanus,1,east,0,5,5,1200,1200,x,wiped,19.0,11.0,2,0,0.012,0.000,6044,5884
0,0,43,armrock,armart,6,west,1,9,8,1080,1080,x,wiped,25.5,10.0,8,0,0.410,0.000,4140,5531
1,0,42,armpw,corwolv,2,west,1,22,7,1188,1190,x,wiped,21.5,8.5,13,0,0.230,0.000,7384,5360
1,1,43,armham,corak,7,east,1,9,27,1170,1161,x,wiped,23.0,7.5,6,0,0.422,0.000,5441,8946
1,0,43,corgator,cormist,5,east,0,9,7,1080,1085,x,wiped,20.5,7.0,9,0,0.545,0.000,3422,6201
0,0,44,armflash,corllt,2,west,1,9,11,990,990,x,wiped,19.5,8.5,9,0,0.674,0.000,2183,7361
1,1,44,armart,corraid,5,east,0,7,4,945,940,y,wiped,27.0,9.5,0,4,0.000,0.453,4797,4569
0,1,40,armstump,corllt,7,east,1,6,15,1350,1350,x,wiped,31.5,11.0,5,0,0.715,0.000,3120,10646
1,0,44,armstump,armllt,0,west,0,6,16,1350,1360,x,wiped,38.0,11.0,5,0,0.566,0.000,4748,10848
0,0,45,corthud,corfav,3,east,1,9,48,1260,1248,x,wiped,14.0,5.5,9,0,0.569,0.000,4443,6553
1,1,45,armrock,armham,6,west,1,12,11,1440,1430,y,wiped,31.5,10.0,0,7,0.000,0.459,9609,6476
0,1,41,armjeth,armflea,1,east,0,10,60,1250,1260,y,wiped,27.0,6.0,0,43,0.000,0.561,6346,1716
1,0,45,armpw,corstorm,1,east,0,22,11,1188,1210,y,wiped,27.5,7.5,0,4,0.000,0.214,10311,6688
0,0,46,armham,armflea,5,east,0,9,56,1170,1176,x,wiped,16.0,6.0,7,0,0.601,0.000,3737,6273
1,0,46,corstorm,corlevlr,3,east,1,10,5,1100,1100,y,wiped,17.0,10.5,0,5,0.000,0.692,8427,2251
1,1,46,corstorm,corllt,0,west,0,9,11,990,990,x,wiped,53.5,15.0,4,0,0.262,0.000,5054,8115
0,1,42,armflash,corgator,4,west,0,11,10,1210,1200,y,wiped,20.5,6.0,0,4,0.000,0.197,8443,6883
1,1,47,armflea,corwolv,6,west,1,57,7,1197,1190,x,wiped,15.0,6.5,34,0,0.387,0.000,2327,5273
1,0,47,corstorm,corstorm,7,east,1,11,11,1210,1210,x,wiped,52.5,10.0,3,0,0.217,0.000,6961,8923
0,0,47,corthud,corraid,1,east,0,10,6,1400,1410,x,wiped,44.5,8.5,2,0,0.152,0.000,10110,12837
1,1,48,corfav,corfav,5,east,0,46,46,1196,1196,y,wiped,28.5,4.0,0,6,0.000,0.071,4547,4188
0,1,43,corgator,corgator,1,east,0,10,10,1200,1200,x,wiped,36.0,6.5,2,0,0.015,0.000,8479,8704
1,0,48,armart,corgator,4,west,0,8,9,1080,1080,y,wiped,17.5,8.0,0,9,0.000,0.476,5054,4104
0,0,48,armflea,corthud,3,east,1,60,9,1260,1260,y,wiped,15.5,5.5,0,7,0.000,0.608,7051,4039
0,1,44,armham,corfav,7,east,1,9,45,1170,1170,x,wiped,14.5,6.0,9,0,0.568,0.000,4027,6392
1,0,49,armham,corak,5,east,0,9,27,1170,1161,x,wiped,21.5,8.0,8,0,0.521,0.000,4473,8756
1,1,49,cormist,corllt,5,east,0,7,12,1085,1080,x,wiped,44.5,13.5,7,0,1.000,0.000,0,8273
0,0,49,armstump,armfav,7,east,1,5,36,1125,1116,x,wiped,17.5,5.0,5,0,0.490,0.000,4789,5625
0,1,45,armflea,corraid,3,east,1,56,5,1176,1175,y,wiped,15.5,5.5,0,5,0.000,0.588,6045,4276
1,0,50,armpw,armpw,1,east,0,22,22,1188,1188,x,wiped,25.0,6.0,5,0,0.115,0.000,7580,8498
0,1,46,corfav,armllt,3,east,1,46,14,1196,1190,y,wiped,13.0,5.5,0,12,0.000,0.643,6002,3345
1,1,50,armart,armart,5,east,0,9,9,1215,1215,x,wiped,57.5,15.0,1,0,0.088,0.000,5986,6142
0,0,50,armham,corthud,4,west,0,11,10,1430,1400,x,wiped,38.5,10.0,4,0,0.214,0.000,9092,11839
1,0,51,armjanus,corllt,5,east,0,6,16,1440,1440,x,wiped,34.5,15.0,3,0,0.376,0.000,3928,12825
1,0,52,armjanus,corfav,0,west,0,5,46,1200,1196,x,wiped,15.5,6.5,4,0,0.481,0.000,2774,11139
1,1,51,corfav,corfav,7,east,1,46,46,1196,1196,x,wiped,28.0,4.0,5,0,0.045,0.000,4264,4482
0,1,47,corcrash,corfav,2,west,1,10,48,1250,1248,y,wiped,29.5,5.5,0,42,0.000,0.780,6441,1021
0,0,51,armrock,corthud,6,west,1,7,6,840,840,y,wiped,27.5,10.5,0,6,0.000,0.444,5632,3787
1,0,53,corak,armfav,6,west,1,28,39,1204,1209,x,wiped,9.0,4.5,25,0,0.588,0.000,3373,4398
1,1,52,armflea,corfav,1,east,0,57,46,1197,1196,x,wiped,25.5,4.5,8,0,0.060,0.000,3563,4526
0,0,52,corak,armfav,1,east,0,28,39,1204,1209,x,wiped,9.0,4.5,28,0,0.552,0.000,3664,4447
1,0,54,corgator,cormist,0,west,0,9,7,1080,1085,x,wiped,20.0,7.0,9,0,0.571,0.000,3238,6219
1,1,53,corlevlr,corfav,0,west,0,5,42,1100,1092,x,wiped,9.5,5.5,5,0,0.915,0.000,620,7111
0,0,53,armflea,corgator,1,east,0,57,10,1197,1200,y,wiped,13.0,5.0,0,9,0.000,0.502,4141,4251
0,1,48,armart,corwolv,4,west,0,10,8,1350,1360,y,wiped,50.0,14.5,0,1,0.000,0.040,7019,6545
1,0,55,armrock,armstump,5,east,0,11,6,1320,1350,y,wiped,33.0,8.5,0,4,0.000,0.331,8568,7576
1,1,54,corlevlr,armllt,7,east,1,5,13,1100,1105,x,wiped,27.5,19.0,4,0,0.582,0.000,2954,9420
0,1,49,armfav,corlevlr,5,east,0,43,6,1333,1320,y,wiped,9.0,5.5,0,5,0.000,0.559,8205,3858
0,0,54,corthud,corfav,7,east,1,9,48,1260,1248,x,wiped,14.5,5.5,9,0,0.597,0.000,4147,6873
1,0,56,armham,corak,4,west,0,9,27,1170,1161,x,wiped,25.0,7.5,6,0,0.363,0.000,5960,9042
1,1,55,armjanus,corllt,1,east,0,6,16,1440,1440,x,wiped,33.0,14.5,4,0,0.492,0.000,3165,12423
0,0,55,corgator,cormist,6,west,1,9,7,1080,1085,x,wiped,20.5,7.0,9,0,0.585,0.000,3129,6221
1,1,56,corgator,cormist,1,east,0,9,7,1080,1085,x,wiped,21.0,6.5,9,0,0.524,0.000,3599,6245
1,0,57,armstump,corraid,0,west,0,5,5,1125,1175,y,wiped,37.5,8.5,0,1,0.000,0.118,9514,9380
0,1,50,corcrash,armllt,4,west,0,10,15,1250,1275,y,wiped,59.0,13.5,0,15,0.000,0.963,6537,340
0,0,56,armjanus,cormist,6,west,1,5,8,1200,1240,x,wiped,28.0,8.0,5,0,0.530,0.000,2464,8130
1,1,57,corfav,armllt,0,west,0,46,14,1196,1190,y,wiped,13.0,5.5,0,12,0.000,0.651,6167,3142
1,0,58,armfav,corgator,5,east,0,39,10,1209,1200,y,wiped,11.5,4.5,0,10,0.000,0.565,4776,3696
0,0,57,armjanus,corgator,6,west,1,5,10,1200,1200,x,wiped,17.0,8.0,5,0,0.665,0.000,1804,9413
0,1,51,armflash,armstump,7,east,1,10,5,1100,1125,x,wiped,25.0,7.0,2,0,0.126,0.000,6956,9337
1,1,58,corak,corgator,6,west,1,28,10,1204,1200,y,wiped,25.0,6.0,0,3,0.000,0.200,8455,6916
